athleteID,name,position,draftInfo,team,receptions,receiving_yards,receiving_td,solo_tackles,forced_fumbles,interceptions,passed_defended,rush_att,rush_yds,rush_td,sacks,passing_yards,passing_td
3051738,Marquez Valdes-Scantling,WR,"2018: Rd 5, Pk 174 (GB)",KC,42,687,2,0,0,0,0,0,0,0,0,0,0
3138677,Leighton Vander Esch,LB,"2018: Rd 1, Pk 19 (DAL)",DAL,0,0,0,54,1,0,0,0,0,0,1,0,0
3042499,Tracy Walker III,S,"2018: Rd 3, Pk 82 (DET)",DET,0,0,0,0,0,0,1,0,0,0,0,0,0
3138826,Fred Warner,LB,"2018: Rd 3, Pk 70 (SF)",SF,0,0,0,79,1,0,0,0,0,0,2,0,0
3118892,Justin Watson,WR,"2018: Rd 5, Pk 144 (TB)",KC,15,315,2,0,0,0,0,0,0,0,0,0,0
4039254,Kyzir White,LB,"2018: Rd 4, Pk 119 (LAC)",ARI,0,0,0,66,0,0,0,0,0,0,1.5,0,0
3051381,Mike White,QB,"2018: Rd 5, Pk 171 (DAL)",MIA,0,0,0,0,0,4,0,0,0,0,0,"1,192",3
3895798,Jordan Whitehead,S,"2018: Rd 4, Pk 117 (TB)",NYJ,0,0,0,0,0,0,8,0,0,0,0,0,0
4036335,Cedrick Wilson Jr.,WR,"2018: Rd 6, Pk 208 (DAL)",MIA,12,136,0,0,0,0,0,0,0,0,0,0,0
3122976,Jeff Wilson Jr.,RB,undrafted,MIA,0,0,0,0,0,0,0,176,860,5,0,0,0
3128303,Josh Woods,LB,undrafted,ARI,0,0,0,10,0,0,0,0,0,0,0,0,0
3042749,Logan Woodside,QB,"2018: Rd 7, Pk 249 (CIN)",ATL,0,0,0,0,0,0,0,0,0,0,0,0,0
